fighter_url,dob,sig_str_acc,takedown_acc,slpm,sapm,str_def,td_avg,td_def,sub_avg,wins,losses,draws
http://ufcstats.com/fighter-details/17734443a833cdf7,"Dec 28, 1999",56%,36%,4.73,2.79,46%,6.86,81%,1.0,13,1,0
http://ufcstats.com/fighter-details/7e9b36a9847db116,"Jan 21, 1995",58%,0%,2.19,3.54,40%,0.00,50%,1.9,9,4,0
http://ufcstats.com/fighter-details/37098a6e6c27fb66,"Nov 12, 1990",37%,47%,3.54,3.91,54%,0.71,63%,0.5,16,11,0
http://ufcstats.com/fighter-details/c96d9178c9ed9e62,"Dec 24, 1986",42%,45%,3.55,3.05,56%,3.69,59%,1.0,23,14,1
http://ufcstats.com/fighter-details/f96856f9d69fd7e4,"Jul 04, 1990",37%,100%,2.80,4.51,55%,0.36,71%,0.4,18,7,0
http://ufcstats.com/fighter-details/7ee0fd831c0fe7c3,"Aug 17, 1993",54%,100%,4.41,4.30,47%,0.18,77%,0.0,24,7,0
http://ufcstats.com/fighter-details/6ac9bc2953c47345,"Dec 18, 1987",45%,29%,2.95,3.44,53%,1.70,40%,1.5,37,22,0
http://ufcstats.com/fighter-details/6747ccd6d1acd266,"Feb 10, 1990",45%,33%,2.90,4.86,45%,1.03,83%,0.3,15,3,0
http://ufcstats.com/fighter-details/6b453bc35a823c3f,"Sep 10, 1996",51%,20%,5.32,4.24,61%,0.34,64%,0.1,18,4,0
http://ufcstats.com/fighter-details/530af2900b5a1693,"Mar 19, 2000",56%,50%,3.43,2.31,44%,1.84,62%,0.3,9,3,0
http://ufcstats.com/fighter-details/40f3cb27fc7305a1,"Jan 23, 1991",56%,62%,2.70,1.75,51%,4.52,73%,0.4,14,7,0
http://ufcstats.com/fighter-details/c15fa95b9a12fde4,"Sep 21, 1996",52%,0%,3.53,2.70,52%,0.00,72%,0.0,7,6,0
http://ufcstats.com/fighter-details/cdb7b38b1b357f26,"Feb 08, 1994",69%,40%,1.80,1.95,35%,4.49,33%,0.0,11,6,0
http://ufcstats.com/fighter-details/32ab52e5de93092d,"Jul 27, 1995",46%,27%,4.56,4.14,55%,1.09,67%,0.4,14,5,0
http://ufcstats.com/fighter-details/8ebc3a8da015d70c,"Jan 19, 1995",48%,44%,4.60,2.12,52%,1.34,33%,0.3,15,3,0
http://ufcstats.com/fighter-details/ed7d329d7c29428d,"Jun 23, 1999",41%,7%,3.24,2.93,54%,0.67,33%,1.7,9,1,0
http://ufcstats.com/fighter-details/cc8c623cca88f54f,"Aug 22, 1991",56%,23%,3.52,4.71,51%,0.46,64%,1.3,10,7,1
http://ufcstats.com/fighter-details/52c2ae6d2f2d2613,"Sep 04, 1996",50%,31%,2.78,1.79,64%,1.84,55%,1.3,18,6,1
http://ufcstats.com/fighter-details/e3b30b573e7f0d19,"Aug 20, 1995",58%,33%,8.80,9.30,47%,2.00,100%,0.0,17,2,0
http://ufcstats.com/fighter-details/262a7d06203657e6,"Oct 01, 1992",40%,35%,4.23,4.45,59%,1.05,68%,0.1,18,9,0
http://ufcstats.com/fighter-details/3eeec2f53cebdf12,"Mar 25, 1999",61%,0%,7.14,3.96,32%,0.00,0%,0.9,8,2,0
http://ufcstats.com/fighter-details/33a8708747b7f943,"Jun 03, 2000",25%,0%,0.60,2.20,52%,0.00,33%,1.0,11,3,0
http://ufcstats.com/fighter-details/cb696ebfb6598724,"Jul 31, 1989",52%,32%,4.26,2.15,59%,2.54,44%,0.6,26,5,0
http://ufcstats.com/fighter-details/113df4fde64735c6,"Dec 18, 1985",45%,38%,5.58,4.04,54%,0.95,65%,0.2,18,8,0
http://ufcstats.com/fighter-details/260e9e0d4954aea6,"Sep 25, 1989",54%,22%,3.43,4.28,49%,2.87,60%,0.9,11,5,0
http://ufcstats.com/fighter-details/a67f5afa8d6a1b80,"Aug 24, 1991",39%,33%,3.06,4.16,41%,1.14,51%,1.7,24,12,0
http://ufcstats.com/fighter-details/095854a135e6db55,"Jan 08, 1990",50%,16%,1.59,2.15,50%,2.02,0%,0.4,5,3,1
http://ufcstats.com/fighter-details/b9f28e7045fdfce7,"May 01, 1987",51%,31%,4.65,4.24,60%,2.51,87%,0.7,22,5,0
http://ufcstats.com/fighter-details/ca80d72da81d7224,"Nov 25, 1993",48%,53%,2.77,2.47,41%,3.50,0%,0.0,8,0,0
http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d,"Nov 29, 1985",47%,41%,3.70,3.69,58%,1.44,69%,0.2,20,13,0
http://ufcstats.com/fighter-details/9508cc6184cb2450,"May 09, 1990",46%,66%,2.95,3.18,47%,0.61,68%,0.0,11,5,1
http://ufcstats.com/fighter-details/65adf3856c4d9256,"May 05, 1993",40%,47%,1.78,1.76,50%,2.40,50%,1.8,17,5,0
http://ufcstats.com/fighter-details/f9ab66e67240db7b,"Sep 29, 1995",53%,36%,4.61,3.26,50%,1.29,62%,0.6,18,6,0
http://ufcstats.com/fighter-details/abb68e3c7ca128f2,"Mar 05, 1998",56%,80%,6.18,5.18,59%,0.60,57%,0.3,15,6,0
http://ufcstats.com/fighter-details/e132d47bd9efbbe0,"Aug 05, 1994",43%,41%,4.33,4.68,60%,3.02,77%,0.4,19,5,0
http://ufcstats.com/fighter-details/078695e385ec2f57,"Feb 09, 1994",40%,33%,3.47,4.81,51%,0.63,55%,0.0,14,4,0
http://ufcstats.com/fighter-details/4e6738062d469256,"Aug 06, 1995",44%,31%,1.97,2.64,53%,1.30,33%,0.2,10,5,0
http://ufcstats.com/fighter-details/cc1a8b4b38b92c6d,"Apr 24, 1992",52%,63%,3.02,1.40,60%,2.71,67%,0.3,15,4,0
http://ufcstats.com/fighter-details/de277a4abcfeea46,--,100%,0%,1.28,2.55,0%,0.00,0%,0.0,13,6,2
http://ufcstats.com/fighter-details/d3f5d33d61cd00c9,"Oct 01, 1990",50%,54%,3.85,2.33,64%,1.43,71%,0.0,13,3,0
http://ufcstats.com/fighter-details/7f6ed67d3ed3c036,"Mar 29, 1991",44%,48%,3.27,3.89,51%,3.82,56%,0.6,18,11,1
http://ufcstats.com/fighter-details/d35298b6df168456,"Oct 17, 1990",36%,29%,3.09,3.67,51%,3.01,66%,0.5,8,1,1
http://ufcstats.com/fighter-details/5d495dec23d7c68e,"Mar 03, 1999",34%,47%,3.19,3.45,55%,2.71,88%,0.5,10,3,0
http://ufcstats.com/fighter-details/a9e260472d321361,"Mar 01, 1989",44%,46%,3.47,3.46,51%,2.63,75%,0.5,15,4,0
http://ufcstats.com/fighter-details/07047eb7d17fb0a2,"Jan 23, 1996",40%,100%,4.13,3.38,64%,0.31,50%,0.0,10,3,0
http://ufcstats.com/fighter-details/4c88a1db5a46c6a4,"May 13, 1988",41%,21%,3.19,3.34,52%,0.42,66%,0.0,14,6,1
http://ufcstats.com/fighter-details/6fd953151d981979,"Sep 29, 1992",46%,23%,3.93,4.39,61%,0.66,67%,0.0,15,8,0
http://ufcstats.com/fighter-details/1a97a3ef4c758fae,"Feb 28, 1991",47%,0%,5.87,6.18,38%,0.00,100%,0.0,12,2,0
http://ufcstats.com/fighter-details/8f4528c10bd34fab,"Jul 26, 1989",58%,0%,8.26,5.03,54%,0.00,100%,0.0,14,4,0
http://ufcstats.com/fighter-details/e6679e38e7fab7a8,"Jun 28, 1994",25%,0%,2.21,7.73,38%,0.00,0%,0.0,14,4,0
http://ufcstats.com/fighter-details/5c637af9472ae7cc,"Mar 30, 1990",47%,42%,3.80,2.64,63%,0.98,80%,0.2,9,3,0
http://ufcstats.com/fighter-details/f1d64ae34e088832,"Nov 27, 1995",50%,20%,5.44,4.22,55%,0.36,44%,0.6,18,9,1
http://ufcstats.com/fighter-details/c85bad793cd14e28,"May 22, 1998",46%,0%,5.99,5.03,57%,0.00,100%,0.0,19,2,0
http://ufcstats.com/fighter-details/cd0dfd9846bd03b9,"Jan 21, 1992",66%,0%,1.69,2.96,46%,0.00,0%,0.0,10,3,0
http://ufcstats.com/fighter-details/b2a78df161bd67f9,"Jul 14, 2000",52%,31%,6.88,5.73,52%,1.20,75%,0.0,11,4,0
http://ufcstats.com/fighter-details/60425d07ef4b91a7,"Jun 12, 1995",43%,47%,4.75,3.83,58%,2.82,75%,0.3,12,5,0
http://ufcstats.com/fighter-details/d945aae53e3e54e6,"Mar 23, 1995",42%,29%,2.52,4.40,52%,1.37,52%,1.1,19,10,0
http://ufcstats.com/fighter-details/9d62c2d8ee151f08,"Dec 02, 1993",38%,50%,2.24,2.74,52%,1.93,26%,1.6,19,7,0
http://ufcstats.com/fighter-details/23024fdfc966410a,"Jul 20, 1986",48%,35%,3.16,3.68,52%,2.04,53%,0.4,22,10,0
http://ufcstats.com/fighter-details/450bcab0968562c4,"Jul 07, 1994",49%,0%,3.56,4.07,62%,0.00,80%,0.0,10,5,0
http://ufcstats.com/fighter-details/51e2f44a8dbf6984,"Apr 12, 1991",47%,50%,4.27,2.13,59%,2.02,66%,0.3,8,3,0
http://ufcstats.com/fighter-details/0cd0456d6029cec2,"Mar 31, 1995",54%,66%,1.15,2.37,32%,1.01,52%,2.5,13,6,0
http://ufcstats.com/fighter-details/04c8b08b16a5b99e,"Aug 02, 1991",53%,0%,4.82,3.00,57%,0.00,69%,0.0,22,11,1
http://ufcstats.com/fighter-details/dd6103dd7127db1d,"Nov 07, 1991",48%,50%,4.02,3.09,56%,1.63,57%,0.7,14,2,1
http://ufcstats.com/fighter-details/0e6b611451a9a7d8,"Apr 18, 2000",45%,26%,5.56,7.93,45%,1.33,50%,0.0,12,5,2
http://ufcstats.com/fighter-details/5fa2974cbd18e05c,"Dec 18, 1991",51%,37%,4.95,5.07,54%,1.49,75%,0.1,21,8,1
http://ufcstats.com/fighter-details/c4d039123e62f6a9,"Oct 01, 1997",44%,27%,4.28,4.76,48%,0.55,72%,0.2,12,7,0
http://ufcstats.com/fighter-details/3a46b268013afede,"Nov 05, 1992",49%,36%,4.24,3.21,50%,0.79,57%,0.6,29,15,0
http://ufcstats.com/fighter-details/c6aee362c7a7d482,"Jul 08, 1990",47%,34%,4.39,3.35,53%,0.71,74%,0.5,20,8,0
http://ufcstats.com/fighter-details/e90a2f22417af68e,"Apr 12, 1989",56%,20%,4.40,3.20,56%,0.68,88%,0.2,16,1,0
http://ufcstats.com/fighter-details/8c0580d4fff106c1,"Oct 24, 1991",42%,35%,3.65,3.52,57%,1.04,60%,0.1,21,11,0
http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,"Sep 06, 1993",49%,42%,4.43,3.94,62%,2.99,76%,0.8,14,6,0
http://ufcstats.com/fighter-details/d247691a6c0e9034,"Nov 02, 1983",51%,50%,4.84,3.99,59%,1.00,63%,0.4,31,14,0
http://ufcstats.com/fighter-details/009341ed974bad72,"Oct 14, 1992",55%,60%,5.61,5.67,45%,0.49,68%,0.2,32,6,1
http://ufcstats.com/fighter-details/6d4b63c767106d3a,"Nov 27, 1991",50%,46%,4.69,5.19,51%,0.83,60%,0.7,24,13,1
http://ufcstats.com/fighter-details/fa6796c55d6c5440,"Feb 18, 1991",51%,47%,3.99,2.70,55%,5.04,35%,0.0,20,6,0
http://ufcstats.com/fighter-details/3920d0cc288f9b0d,"Jun 16, 2002",43%,19%,3.68,4.31,54%,0.76,40%,0.8,12,5,0
http://ufcstats.com/fighter-details/e2be0c1a9b886d92,"Nov 30, 1996",60%,6%,5.94,5.21,51%,0.21,80%,0.0,12,1,1
http://ufcstats.com/fighter-details/2e19380f34871c6a,"Dec 26, 1989",53%,28%,4.99,3.40,49%,0.25,82%,0.2,16,5,0
http://ufcstats.com/fighter-details/955da1675ad58a50,"Nov 12, 1997",64%,47%,9.29,5.28,48%,3.73,77%,0.4,10,0,0
http://ufcstats.com/fighter-details/323d4ca260dfa0ba,"Apr 27, 1996",43%,66%,7.43,5.74,54%,0.32,66%,0.2,16,3,0
http://ufcstats.com/fighter-details/2e5c2aa8e4ab9d82,"Apr 21, 1991",59%,42%,6.15,5.96,49%,0.30,77%,0.0,16,4,0
http://ufcstats.com/fighter-details/06626b6287e1ae1e,"Sep 14, 1995",54%,29%,6.67,4.85,51%,1.10,83%,0.4,18,6,1
http://ufcstats.com/fighter-details/583ee11abddfc581,"Jun 06, 1988",45%,41%,5.55,5.96,51%,0.73,71%,0.7,18,8,0
http://ufcstats.com/fighter-details/feedf3053472fe56,"Jul 09, 1990",53%,44%,2.50,2.45,54%,1.99,100%,0.5,12,5,0
http://ufcstats.com/fighter-details/c21f26bbde777573,"Mar 30, 1992",54%,50%,3.90,2.99,46%,0.36,57%,0.7,22,10,0
http://ufcstats.com/fighter-details/9014c02eff8b3d62,"Nov 07, 1990",55%,60%,6.57,4.03,51%,0.53,85%,0.2,15,1,0
http://ufcstats.com/fighter-details/b08012bbe542592a,"Dec 19, 1990",60%,45%,2.86,1.63,44%,4.52,57%,0.7,13,1,0
http://ufcstats.com/fighter-details/5537efc6e496dd84,"Sep 23, 1996",53%,50%,6.16,3.11,45%,6.54,0%,0.0,14,5,0
http://ufcstats.com/fighter-details/72db2a14ffa73ece,"Dec 11, 1990",51%,38%,3.14,2.79,60%,5.08,76%,0.4,26,5,0
http://ufcstats.com/fighter-details/98a58c26c5b1ed17,"Jul 07, 1987",46%,33%,3.06,4.66,55%,1.21,74%,0.5,38,9,0
http://ufcstats.com/fighter-details/6b0a6def604de298,"Dec 15, 1997",47%,83%,11.13,5.06,58%,1.58,78%,0.9,12,0,0
http://ufcstats.com/fighter-details/2bd98ab77a8daa75,"Nov 04, 1994",37%,22%,3.01,4.81,54%,2.82,33%,0.0,8,4,0
http://ufcstats.com/fighter-details/147e70aa6cc48cfc,"Jun 21, 1994",49%,61%,3.59,6.24,43%,1.54,84%,1.0,8,4,0
http://ufcstats.com/fighter-details/3fa97913cfd205d3,"Jan 28, 1996",46%,26%,3.77,3.71,57%,0.70,87%,0.7,17,5,0
http://ufcstats.com/fighter-details/f9b200db02b488d9,"Mar 14, 1992",45%,36%,4.52,4.71,54%,1.24,66%,0.3,12,8,2
http://ufcstats.com/fighter-details/eee0ef3e2b14816b,"Jan 05, 1995",59%,53%,5.49,6.03,55%,1.45,55%,0.2,18,8,1
http://ufcstats.com/fighter-details/fd7ab338e4953644,"Oct 22, 1996",28%,0%,3.72,12.82,45%,0.00,0%,0.0,11,5,0
http://ufcstats.com/fighter-details/49edd0d90f60fb7d,"Sep 08, 1996",40%,37%,2.94,3.56,53%,0.66,32%,0.4,17,11,0
http://ufcstats.com/fighter-details/b6452706b373eea1,"May 21, 1989",49%,40%,4.10,3.55,59%,1.68,64%,0.6,21,7,1
http://ufcstats.com/fighter-details/fd406a32a6fb3a29,"May 10, 1993",45%,40%,4.83,4.57,50%,2.92,55%,0.6,15,3,0
http://ufcstats.com/fighter-details/764d39074a352e33,"Mar 30, 1995",59%,42%,3.04,2.57,54%,2.95,87%,0.4,11,5,0
http://ufcstats.com/fighter-details/a4a80dd7336ffd59,"May 02, 1996",49%,27%,3.47,2.67,54%,1.77,58%,0.4,9,3,2
http://ufcstats.com/fighter-details/ba15006c804a8de0,"Apr 20, 1994",60%,0%,2.80,2.82,46%,0.00,100%,0.0,6,2,0
http://ufcstats.com/fighter-details/92aed9d16794f42b,"May 15, 1998",34%,22%,3.37,5.20,45%,1.00,71%,0.0,11,3,0
http://ufcstats.com/fighter-details/3bc3f60b21cddc6a,"Dec 30, 1995",52%,43%,4.57,6.83,31%,3.48,62%,0.0,20,5,0
http://ufcstats.com/fighter-details/6142edbd477d20c9,"Jan 29, 1997",41%,33%,7.07,7.00,33%,1.00,100%,0.0,11,2,0
http://ufcstats.com/fighter-details/d776b5814f2400b4,"Feb 19, 1996",55%,60%,7.44,4.53,63%,1.68,100%,0.0,10,2,0
http://ufcstats.com/fighter-details/3c26c420584d912d,"Feb 12, 1992",41%,37%,2.72,3.12,41%,1.80,80%,0.0,7,6,0
http://ufcstats.com/fighter-details/65db4065e2bc107d,"Aug 25, 1994",48%,45%,3.16,5.28,43%,1.92,66%,0.4,13,9,1
http://ufcstats.com/fighter-details/d7c4956d61ae76a9,"Sep 11, 1996",64%,0%,8.43,3.50,68%,0.00,75%,0.0,17,3,0
http://ufcstats.com/fighter-details/27b388f0aab49780,"May 08, 1992",45%,44%,2.15,2.29,64%,2.47,63%,2.1,10,4,0
http://ufcstats.com/fighter-details/d25240135aee03e5,"Feb 21, 1995",36%,34%,3.77,4.79,58%,2.37,54%,0.1,12,5,0
http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,"Jan 03, 2001",68%,75%,8.64,2.22,59%,11.11,100%,7.4,10,0,0
http://ufcstats.com/fighter-details/7dda2cf308f24a02,"May 30, 1988",41%,39%,2.27,2.86,55%,3.13,72%,1.4,23,4,0
http://ufcstats.com/fighter-details/81d2c551886bd5a1,"Dec 20, 2005",36%,0%,2.83,3.11,66%,0.00,75%,0.0,7,1,0
http://ufcstats.com/fighter-details/83455a9d17f57dae,"Aug 10, 1996",39%,33%,2.40,3.90,45%,4.91,66%,0.2,14,1,0
http://ufcstats.com/fighter-details/1338e2c7480bdf9e,"Jul 22, 1989",48%,9%,4.03,3.22,55%,0.05,76%,0.1,24,6,0
http://ufcstats.com/fighter-details/d8da10db80131bec,"Sep 29, 1989",43%,30%,5.11,5.57,48%,1.06,50%,0.6,16,11,0
http://ufcstats.com/fighter-details/841695e02c99a521,"Oct 07, 1997",45%,46%,3.34,4.50,45%,1.64,80%,0.3,9,2,1
http://ufcstats.com/fighter-details/c9cf753cfdf77fc2,"Nov 09, 1985",46%,32%,3.49,3.34,54%,1.23,70%,0.1,27,12,0
http://ufcstats.com/fighter-details/902ec2cc48c8ae8a,"Jul 31, 1989",48%,43%,6.18,6.31,48%,1.73,61%,0.7,31,14,0
http://ufcstats.com/fighter-details/a6eb54ae17a551be,"Aug 13, 1993",46%,18%,3.51,5.31,53%,0.42,68%,0.2,11,4,0
http://ufcstats.com/fighter-details/c1085e1701b13eca,"Sep 17, 1996",44%,30%,3.52,3.22,52%,1.45,62%,0.9,16,3,0
http://ufcstats.com/fighter-details/545092d13c67aa49,"Nov 20, 1995",47%,53%,4.80,2.76,55%,3.95,100%,1.4,15,1,0
http://ufcstats.com/fighter-details/7138a15258dabf20,"Sep 07, 1993",57%,52%,2.56,3.75,52%,1.23,57%,0.1,11,7,1
http://ufcstats.com/fighter-details/640a0f838f057a81,"Apr 27, 1995",60%,0%,6.42,4.75,55%,0.00,0%,0.0,14,6,0
http://ufcstats.com/fighter-details/5987b2458f4b5290,"Aug 31, 1992",42%,41%,3.03,3.90,61%,4.49,76%,0.3,22,7,1
http://ufcstats.com/fighter-details/07bc580bdf3eb9c8,"Feb 02, 1995",45%,66%,2.40,4.24,56%,1.67,75%,0.0,10,2,0
